Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,C14663,C_0603_1608Metric,131.0,-83.92,90.0,top
C2,C14663,C_0603_1608Metric,150.62,-84.98125,-90.0,top
C3,C1779,C_0805_2012Metric,150.97,-64.42625,-90.0,top
C4,C14663,C_0603_1608Metric,145.89,-64.42625,-90.0,top
C5,C57112,C_0603_1608Metric,151.89,-89.42625,180.0,top
C6,C14663,C_0603_1608Metric,151.255,-81.17125,180.0,top
C7,C116241,CP_Elec_8x10,135.275,-101.92,-90.0,top
C8,C116241,CP_Elec_8x10,135.275,-113.985,-90.0,top
J1,Conn_01x01_Pin,PinHeader_1x01_P2.54mm_Vertical,131.0,-89.0,90.0,top
J2,Conn_01x01_Pin,PinHeader_1x01_P2.54mm_Vertical,131.0,-78.84,90.0,top
J3,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,126.385,-108.27,0.0,top
J4,Conn_01x01_Pin,PinHeader_1x01_P2.54mm_Vertical,149.245,-122.24,0.0,top
J5,Conn_01x01_Pin,PinHeader_1x01_P2.54mm_Vertical,152.0,-107.0,0.0,top
J6,C37208,PinHeader_1x06_P2.54mm_Vertical,144.27,-68.47125,-90.0,top
J7,C492401,PinHeader_1x02_P2.54mm_Vertical,165.79,-131.55,-90.0,top
J8,C492401,PinHeader_1x02_P2.54mm_Vertical,163.25,-62.335,-90.0,top
R1,RT0603BRE0750RL,R_0603_1608Metric,143.72,-122.24,0.0,top
R10,C17901,R_1206_3216Metric,163.25,-110.475,0.0,top
R11,C17901,R_1206_3216Metric,163.25,-116.13,0.0,top
R12,C17901,R_1206_3216Metric,163.25,-121.265,0.0,top
R13,C17901,R_1206_3216Metric,163.25,-126.515,0.0,top
R2,0603WAF1001T5E,R_0603_1608Metric,147.34,-94.935,180.0,top
R3,RTT025002FTH,R_0402_1005Metric,151.15,-101.92,-90.0,top
R4,C17901,R_1206_3216Metric,163.25,-78.845,0.0,top
R5,C17901,R_1206_3216Metric,163.25,-83.985,0.0,top
R6,C17901,R_1206_3216Metric,163.25,-89.005,0.0,top
R7,C17901,R_1206_3216Metric,163.25,-94.2,0.0,top
R8,C17901,R_1206_3216Metric,163.25,-99.51,0.0,top
R9,C17901,R_1206_3216Metric,163.25,-104.935,0.0,top
T1,SWB1040-PCL,SWB1040PCL,163.25,-69.955,-90.0,top
U1,THS3091DDAR,TI_SO-PowerPAD-8_ThermalVias,148.575,-114.585,90.0,top
U2,AD9833xRM,MSOP-10_3x3mm_P0.5mm,145.175,-85.18875,180.0,top
X1,C558756,Crystal_SMD_7050-4Pin_7.0x5.0mm,148.715,-76.72625,180.0,top
